Index,Plant_name,scientific_name,class ,order,description,advantages,disadvantages,,Url
10,Hibiscus Rosa-sinensis,Hibiscus rosa-sinensis,Magnoliopsida (Dicots),Malvales,"Known as Chinese Hibiscus, this ornamental plant bears large, colorful flowers. It is used in traditional medicine for hair care, treating fevers, and as an anti-inflammatory agent.","The plant produces vibrant, large flowers that add aesthetic appeal to gardens and landscapes.","The blooms are short-lived, typically lasting only a day or two.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTU8iqNn5Z8tdB69HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzRmMTkzNGNjMzViYzJlMWZjYmRiYjRkOTdiNGE2YmY5BGdwb3MDMQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DHibiscus%2BRosa-sinensis%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D1&w=3872&h=2592&imgurl=upload.wikimedia.org%2Fwikipedia%2Fcommons%2F8%2F82%2FHibiscus_rosa-sinensis_flower_2.JPG&rurl=http%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FFile%3AHibiscus_rosa-sinensis_flower_2.JPG&size=2311KB&p=Hibiscus+Rosa-sinensis&oid=4f1934cc35bc2e1fcbdbb4d97b4a6bf9&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=File%3AHibiscus+rosa-sinensis+flower+2.JPG+-+Wikimedia+Commons&b=0&ni=160&no=1&ts=&tab=organic&sigr=.XYaipWlRiW8&sigb=loa.VEmSkLcC&sigi=mz8mjLVe7hFP&sigt=Z6mH6BambeUC&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
11,Jasminum (Jasmine),Jasminum spp,Magnoliopsida (Dicots), Lamiales,"Jasmine plants are valued for their fragrant flowers, used in perfumery and essential oils. They are also used in teas and traditional medicine for relaxation and treating skin issues.","Used in traditional medicine to treat headaches, depression, and anxiety.",Requires regular pruning to manage growth and encourage flowering,,https://plantparadise.in/cdn/shop/products/Jasminummultiflorumnatureboysumanthimage3.jpg?v=1691200599
12,Mangifera Indica (Mango),Mangifera indica,Magnoliopsida (Dicots),Sapindales,"Mango is a tropical fruit tree cultivated for its sweet, juicy fruits. Rich in vitamins A and C, mangoes are consumed fresh or processed. The leaves and bark are used in traditional medicine for treating diabetes and diarrhea.",High antioxidant content helps combat free radicals and boost immunity.,"Sensitive to frost, prolonged drought, and waterlogging",,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFVziqNnSqE1hxq9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2NhNzk4MDU4ODgzY2JhMjJiNmExOGU5NjhhMGRlZDNjBGdwb3MDMwRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DMangifera%2BIndica%2B%2528Mango%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D3&w=900&h=900&imgurl=www.gowthaminursery.in%2Fwp-content%2Fuploads%2F2020%2F12%2FMANGO-Mangifera-Indica-3.jpg&rurl=https%3A%2F%2Fwww.gowthaminursery.in%2Fproduct%2Fmango-mangifera-indica%2F&size=165KB&p=Mangifera+Indica+%28Mango%29&oid=ca798058883cba22b6a18e968a0ded3c&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=MANGO+-+Mangifera+Indica+-+Gowthami+Nursery&b=0&ni=160&no=3&ts=&tab=organic&sigr=kgx5YwFSOBzF&sigb=XxGpLA31AmMN&sigi=ztybi22nWzn1&sigt=1wqb9ngBaNrq&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
13,Mentha (Mint),Mentha spp.,Magnoliopsida (Dicots),Lamiales,"Mint is a herbaceous perennial plant with aromatic leaves. It is used in culinary dishes, teas, and traditional medicine for its cooling and digestive properties.","Contains vitamins (A and C), minerals (iron, calcium), and antioxidants that support overall health.",Fungal diseases such as rust or mildew can occur in overly humid conditions,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFWdiqNnXm43Bh29HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2Y1MzFjZTg2ZTI2ZmIxYTgxZWU5ZjlkMTNlNTA0Yzc2BGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DMentha%2B%2528Mint%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1600&h=1067&imgurl=1.bp.blogspot.com%2F-Fbtu8f_Tra8%2FXs-ebihY-CI%2FAAAAAAAAGOs%2Fo7xT2oLOuesU-j7MMbB0VcmeBSMtuEgwQCLcBGAsYHQ%2Fs1600%2F27931664225_3decab579d_k.jpg&rurl=https%3A%2F%2Ftravaldo.blogspot.com%2F2020%2F05%2Fmentha-plant-mint-care-and-culture.html&size=347KB&p=Mentha+%28Mint%29&oid=f531ce86e26fb1a81ee9f9d13e504c76&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Mentha+plant+-+Mint+care+and+culture+%7C+Travaldo%26%2339%3Bs+blog&b=0&ni=160&no=2&ts=&tab=organic&sigr=x22bNmON8Ima&sigb=665FxgGMkDBK&sigi=7ZDZrgwrSloB&sigt=EEQ9sZ.iha42&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
14,Moringa Oleifera (Drumstick),Moringa oleifera,Magnoliopsida (Dicots),Brassicales,"Often referred to as the ""Miracle Tree,"" Moringa is rich in nutrients and antioxidants. Its leaves, pods, seeds, and roots are used in food and medicine for treating malnutrition, inflammation, and infections.","High in vitamins (A, C, E), minerals (calcium, potassium, and iron), and protein.","Can become invasive in certain regions, competing with native plants",,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFW1iqNn2Po2_1e9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2M1YWJhNTE0MGQ4NDY5MzY0ZTU1ZmQ2M2NmYTZlOGExBGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DMoringa%2BOleifera%2B%2528Drumstick%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D4&w=800&h=800&imgurl=wildroots.in%2Fwp-content%2Fuploads%2F2023%2F06%2Fmoringa1.jpg&rurl=https%3A%2F%2Fwildroots.in%2Fshop%2Foutdoor-plants%2Ffruit-plants%2Fmoringa-oleifera-drumstick-tree-sahjan-tree-plant%2F&size=70KB&p=Moringa+Oleifera+%28Drumstick%29&oid=c5aba5140d8469364e55fd63cfa6e8a1&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Moringa+oleifera%2C+Drumstick+tree%2C+Sahjan+Tree-+Plant+%E2%80%93+Wild+Roots&b=0&ni=160&no=4&ts=&tab=organic&sigr=vzNbQH0enlw5&sigb=mGlb47QvmUzM&sigi=8mMhCqkR5S6P&sigt=HT0hFKUAmIle&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
15,Muntingia Calabura (Jamaica Cherry-Gasagase),Muntingia calabura,Magnoliopsida (Dicots),Malvales,"This fast-growing tree produces small, sweet, cherry-like fruits. The fruits are rich in antioxidants, and the plant is used in traditional medicine for treating ulcers and pain.","The small, sweet fruits are edible and can be consumed fresh or used in jams, desserts, and drinks.",The wood is soft and not durable for long-term construction or heavy-duty uses.,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFXaiqNn7o43nQ69HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzQwYzY0MGM0YTlmZjU4MWU0ZTQ1ZDU1MGE3ZmJmZDNkBGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DMuntingia%2BCalabura%2B%2528Jamaica%2BCherry-Gasagase%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D4&w=800&h=600&imgurl=thumbs.dreamstime.com%2Fb%2Fmuntingia-calabura-jamaica-cherry-panama-singapore-strawberry-tree-jam-calabura-----family--muntingiaceae-jamaica-cotton-184791790.jpg&rurl=https%3A%2F%2Fwww.dreamstime.com%2Fmuntingia-calabura-jamaica-cherry-panama-singapore-strawberry-tree-jam-calabura-----family--muntingiaceae-jamaica-cotton-image184791790&size=90KB&p=Muntingia+Calabura+%28Jamaica+Cherry-Gasagase%29&oid=40c640c4a9ff581e4e45d550a7fbfd3d&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Muntingia+Calabura%2C+Jamaica+Cherry%2C+Panama+Cherry%2C+Singapore+Cherry+...&b=0&ni=160&no=4&ts=&tab=organic&sigr=iA8bgs5.slAB&sigb=v_EdZyNOLkrW&sigi=1eFSfgWtOC7K&sigt=ugKEJqEszIUu&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
16,Murraya Koenigii (Curry),Murraya koenigii,Magnoliopsida (Dicots),Sapindales,"Curry leaves are aromatic and widely used in Indian cuisine. They have antimicrobial, anti-inflammatory, and digestive properties and are used in traditional medicine for diabetes and hair care.","Rich in essential nutrients like calcium, iron, magnesium, phosphorus, and vitamins A, B, C, and E","Vulnerable to pests like aphids, scale insects, and caterpillars.",,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFX8iqNnXm43.CW9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2FmNGRmYmZkNDY2Mzk4NDhkMjZlMWFlYzVhMmVjZWNhBGdwb3MDOQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DMurraya%2BKoenigii%2B%2528Curry%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D9&w=532&h=532&imgurl=www.olelantanaseeds.com.au%2Fwp-content%2Fuploads%2F2021%2F11%2FMurraya-koenigii-03-e1637406507425.jpg&rurl=https%3A%2F%2Fwww.olelantanaseeds.com.au%2Fproduct%2Fmurraya-koenigii-curry-leaf-bush-seeds-x10%2F&size=50KB&p=Murraya+Koenigii+%28Curry%29&oid=af4dfbfd46639848d26e1aec5a2ececa&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Murraya+koenigii+-+Curry+Leaf+Bush+seeds+x10+-+Ole+Lantana%26%2339%3Bs+Seed+Store&b=0&ni=160&no=9&ts=&tab=organic&sigr=PKEbcefbqJYK&sigb=4RBsuATppfi6&sigi=6vkMDYbkQusj&sigt=QTehzr_H4Prb&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
17,Nerium Oleander (Oleander),Nerium oleander,Magnoliopsida (Dicots),Gentianales,"Oleander is a toxic yet ornamental shrub with fragrant flowers. Despite its toxicity, it is used in small doses in traditional medicine for treating heart conditions and skin disorders.","Highly drought-tolerant and thrives in poor soils, making it suitable for dry or arid regions.",Handling the plant without gloves may cause skin irritation in sensitive individuals.,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFUdi6NnALM2M429HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzliM2U0YjdhMTE2YjQwZjA0YWRhZjg1YzNiZDUwOWNiBGdwb3MDNQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DNerium%2BOleander%2B%2528Oleander%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D5&w=1200&h=832&imgurl=upload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F8b%2FNerium_oleander_pink.jpg%2F1200px-Nerium_oleander_pink.jpg&rurl=https%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FFile%3ANerium_oleander_pink.jpg&size=126KB&p=Nerium+Oleander+%28Oleander%29&oid=9b3e4b7a116b40f04adaf85c3bd509cb&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=File%3ANerium+oleander+pink.jpg+-+Wikimedia+Commons&b=0&ni=160&no=5&ts=&tab=organic&sigr=Fix_4B4zGre4&sigb=HK529S_1LJrP&sigi=TLXnazUvQ7pd&sigt=Xlw9D0CvLtuT&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
18,Nyctanthes Arbor-tristis (Parijata), Nyctanthes arbor-tristis,Magnoliopsida (Dicots),Lamiales,"Parijata is a sacred plant with fragrant flowers that bloom at night. It is used in traditional medicine to treat fever, arthritis, and respiratory ailments.","The leaves are used to treat joint pain, malaria, and fever.",Regular cleaning is required as the fallen flowers can litter the ground.,,https://tse4.mm.bing.net/th?id=OIP.qYi3hDX3dYfQRWC0KxJdAwHaJd&pid=Api&P=0&h=180
19,Ocimum Tenuiflorum (Tulsi),Ocimum tenuiflorum,Magnoliopsida (Dicots),Lamiales,"Known as Holy Basil, Tulsi is an aromatic plant revered in Ayurveda. It has adaptogenic, antimicrobial, and anti-inflammatory properties and is used for boosting immunity and treating respiratory conditions.","Tulsi is rich in antioxidants and compounds that support immune function, helping to fight off infections.","Tulsi requires regular pruning to maintain a bushy, healthy appearance and prevent it from becoming leggy or overgrown.",,https://tse1.mm.bing.net/th?id=OIP.c1OKpica7kQQEAolNuGs8AHaER&pid=Api&P=0&h=180
20,Piper Betle (Betel),Piper betle,Magnoliopsida (Dicots),Piperales,"The Betel plant is a climbing vine whose leaves are used in traditional medicine and rituals. Betel leaves have digestive, antimicrobial, and stimulant properties.",The leaves have antimicrobial and antibacterial properties that help fight infections.,"The plant can be susceptible to pests like aphids, whiteflies, and fungal diseases.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWHi6NnPWUu5uu9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzJhNTNjMGEwYWU4MjYzMDJiZjY4MzRhZDQ4OTBkZjcyBGdwb3MDMTAEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DPiper%25C2%25A0Betle%25C2%25A0%2528Betel%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D10&w=1620&h=1080&imgurl=www.picturethisai.com%2Fwiki-image%2F1080%2F6A8466B7DE604D55B913F2E21CD8567E.jpeg&rurl=https%3A%2F%2Fwww.picturethisai.com%2Fes%2Fwiki%2FPiper_betle.html&size=377KB&p=Piper%C2%A0Betle%C2%A0%28Betel%29&oid=2a53c0a0ae826302bf6834ad4890df72&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=B%C3%A9tel+%28Piper+betle%29+-+PictureThis&b=0&ni=160&no=10&ts=&tab=organic&sigr=b3rzRYdRxN9T&sigb=QNFBM2LYz1AV&sigi=mbsm53CnR4Ku&sigt=IBBMXifimouT&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
